    0.35     5.15   314.20 
    0.41     5.39   307.20 
    0.47     6.23   317.20 
    0.69     6.67   318.10 
    0.61     6.55   309.10 
    0.63     7.05   311.90 
    0.66     7.07   316.70 
    0.72     6.80   311.70 
    0.71     7.20   314.70 
    0.70     8.24   317.70 
    0.63     7.68   315.80 
    0.59     6.55   318.80 
    0.59     7.30   309.80 
    0.61     7.93   316.80 
    0.51     7.05   309.80 
    0.51     5.92   317.80 
    0.47     6.55   314.10 
    0.49     6.17   313.80 
    0.46     6.90   320.20 
    0.45     6.30   318.90 
    0.43     5.82   317.90 
    0.43     5.70   310.90 
    0.46     6.06   317.90 
    0.46     6.06   328.90 
    0.47     5.71   322.20 
    0.54     5.54   318.80 
    0.53     6.04   316.80 
    0.53     5.54   317.80 
    0.53     5.67   317.80 
    0.57     6.42   306.10 
    0.61     7.05   310.10 
    0.62     7.55   318.10 
    0.54     6.92   319.10 
    0.55     7.05   315.80 
    0.51     7.43   312.80 
    0.45     7.70   321.20 
    0.42     6.06   316.80 
    0.65     5.30   293.50 
    0.85     4.98   282.10 
    0.75     4.79   274.70 
    0.70     5.01   265.60 
    0.80     5.31   261.70 
    0.69     4.66   264.70 
    0.52     4.97   274.50 
    0.42     5.51   287.10 
    0.37     5.61   294.60 
    0.42     5.04   293.50 
    0.37     6.38   297.60 
    0.27     6.57   313.40 
    0.25     7.30   316.20 
    0.34     7.24   302.60 
    0.34     7.12   301.60 
    0.21     6.82   316.40 
    0.45     5.05   263.70 
    0.81     5.41   253.30 
    0.74     5.14   252.80 
    0.61     5.48   257.30 
    0.69     5.74   276.50 
    0.70     6.06   281.40 
    0.55     5.27   266.60 
